#,LeagueCP,Name,SpeciesID,Moves Set,BEST,DEFAULT,DEFAULT_XS,MAX,b2x,b2d,b2m,x2d,x2m,d2m,RESULT,IV
0,1500,Abomasnow,abomasnow,2000-05-02,24-0-15-15,23.5-4-14-15,28-6-12-13,22-15-15-15,-,-1.00%,2.00%,-,-,0.00%,M,22-15-15-15
1,1500,Abomasnow (Mega),abomasnow_mega,2000-04-02,16.5-0-14-13,16-6-15-13,,15-15-15-15,-,-38.00%,-37.00%,-,-,-37.00%,M,15-15-15-15
2,1500,Abomasnow (Shadow),abomasnow_shadow,2000-05-02,24-0-15-15,23.5-4-14-15,,22-15-15-15,-,-40.00%,-28.00%,-,-,-28.00%,M,22-15-15-15
3,1500,Abra,abra,2000-01-03,49-15-15-15,50-13-15-14,,49-15-15-15,-,-11.00%,0.00%,-,-,11.00%,D,50-13-15-14
4,1500,Abra (Shadow),abra_shadow,2000-02-03,49-15-15-15,50-13-15-14,,49-15-15-15,-,1.00%,0.00%,-,-,-1.00%,M,49-15-15-15
5,1500,Absol,absol,2001-01-02,22-0-15-15,22-6-12-11,,20.5-15-15-15,-,-43.00%,-42.00%,-,-,43.00%,D,22-6-12-11
6,1500,Absol (Shadow),absol_shadow,2001-01-03,22-0-15-15,22-6-12-11,,20.5-15-15-15,-,-21.00%,-20.00%,-,-,21.00%,D,22-6-12-11
7,1500,Accelgor,accelgor,2001-02-01,23-0-14-15,22.5-6-13-15,,21.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,21.5-15-15-15
8,1500,Aegislash,aegislash,2001-03-01,47-0-12-15,43-5-15-13,,35.5-15-15-15,-,-15.00%,-8.00%,-,-,-6.00%,M,35.5-15-15-15
9,1500,Aerodactyl,aerodactyl,2001-05-02,20-1-15-15,20-5-15-9,,18.5-15-15-15,-,3.00%,0.00%,-,-,0.00%,M,18.5-15-15-15
10,1500,Aerodactyl (Shadow),aerodactyl_shadow,2001-06-02,20-1-15-15,20-5-15-9,,18.5-15-15-15,-,0.00%,7.00%,-,-,3.00%,D,20-5-15-9
11,1500,Aggron,aggron,2002-02-01,19-0-14-12,18.5-4-11-15,,17.5-15-15-15,-,-9.00%,-7.00%,-,-,-7.00%,M,17.5-15-15-15
12,1500,Aggron (Shadow),aggron_shadow,2002-03-02,19-0-14-12,18.5-4-11-15,,17.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,17.5-15-15-15
13,1500,Aipom,aipom,2001-01-02,49.5-14-15-14,49-15-14-15,,48.5-15-15-15,-,37.00%,0.00%,-,-,0.00%,M,48.5-15-15-15
14,1500,Aipom (Shadow),aipom_shadow,2001-01-03,49.5-14-15-14,49-15-14-15,,48.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,48.5-15-15-15
15,1500,Alakazam,alakazam,2001-02-06,18-1-15-15,18-6-15-10,,17-15-15-15,-,0.00%,0.00%,-,-,13.00%,D,18-6-15-10
16,1500,Alakazam (Shadow),alakazam_shadow,2001-02-07,18-1-15-15,18-6-15-10,,17-15-15-15,-,-3.00%,2.00%,-,-,0.00%,M,17-15-15-15
17,1500,Alomomola,alomomola,2016-03-02,27-0-15-11,26-4-14-15,,24-15-15-15,-,-5.00%,6.00%,-,-,4.00%,D,26-4-14-15
18,1500,Altaria,altaria,2000-03-02,29-0-14-15,28.5-4-14-11,,26-15-15-15,-,2.00%,5.00%,-,-,1.00%,B,29-0-14-15
19,1500,Amaura,amaura,2001-04-01,50-11-15-15,50-12-15-12,,47.5-15-15-15,-,-5.00%,-4.00%,-,-,-4.00%,M,47.5-15-15-15
20,1500,Ambipom,ambipom,2001-01-03,23.5-0-13-14,23-4-13-14,,21.5-15-15-15,-,0.00%,4.00%,-,-,2.00%,D,23-4-13-14
21,1500,Ambipom (Shadow),ambipom_shadow,2001-01-04,23.5-0-13-14,23-4-13-14,,21.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,21.5-15-15-15
22,1500,Amoonguss,amoonguss,2001-02-01,27-0-14-15,27-4-8-12,,24.5-15-15-15,-,0.00%,4.00%,-,-,2.00%,D,27-4-8-12
23,1500,Ampharos,ampharos,2001-05-02,20-0-13-11,19.5-5-12-13,,18-15-15-15,-,-19.00%,-8.00%,-,-,-8.00%,M,18-15-15-15
24,1500,Ampharos (Mega),ampharos_mega,2001-05-01,13-0-15-15,13-4-11-13,,12-15-15-15,-,-24.00%,-22.00%,-,-,24.00%,D,13-4-11-13
25,1500,Ampharos (Shadow),ampharos_shadow,2001-06-02,20-0-13-11,19.5-5-12-13,,18-15-15-15,-,0.00%,29.00%,-,-,22.00%,D,19.5-5-12-13
26,1500,Anorith,anorith,2001-01-03,45-0-15-15,43.5-6-14-12,,38.5-15-15-15,-,-11.00%,0.00%,-,-,-2.00%,M,38.5-15-15-15
27,1500,Anorith (Shadow),anorith_shadow,2001-01-03,45-0-15-15,43.5-6-14-12,,38.5-15-15-15,-,3.00%,0.00%,-,-,0.00%,M,38.5-15-15-15
28,1500,Arbok,arbok,2002-02-05,30.5-0-11-14,29-5-14-14,,27-15-15-15,-,-24.00%,-9.00%,-,-,-9.00%,M,27-15-15-15
29,1500,Arbok (Shadow),arbok_shadow,2002-02-05,30.5-0-11-14,29-5-14-14,,27-15-15-15,-,0.00%,4.00%,-,-,2.00%,D,29-5-14-14
30,1500,Arcanine,arcanine,2002-05-04,18.5-0-14-15,18.5-4-15-6,,17-15-15-15,-,-47.00%,-47.00%,-,-,-47.00%,M,17-15-15-15
31,1500,Arcanine (Shadow),arcanine_shadow,2002-06-04,18.5-0-14-15,18.5-4-15-6,,17-15-15-15,-,-34.00%,61.00%,-,-,-25.00%,M,17-15-15-15
32,1500,Arceus,arceus,2001-03-01,14-0-15-14,14-4-10-11,,13-15-15-15,-,-3.00%,-1.00%,-,-,2.00%,D,14-4-10-11
33,1500,Arceus (Bug),arceus_bug,2001-03-01,14-0-15-14,14-4-10-11,,13-15-15-15,-,-24.00%,-22.00%,-,-,-22.00%,M,13-15-15-15
34,1500,Arceus (Dark),arceus_dark,2001-03-01,14-0-15-14,14-4-10-11,,13-15-15-15,-,-42.00%,-41.00%,-,-,-41.00%,M,13-15-15-15
35,1500,Arceus (Dragon),arceus_dragon,2001-03-01,14-0-15-14,14-4-10-11,,13-15-15-15,-,-24.00%,-22.00%,-,-,-22.00%,M,13-15-15-15
36,1500,Arceus (Electric),arceus_electric,2001-03-01,14-0-15-14,14-4-10-11,,13-15-15-15,-,-24.00%,-22.00%,-,-,-22.00%,M,13-15-15-15
37,1500,Arceus (Fairy),arceus_fairy,2001-03-01,14-0-15-14,14-4-10-11,,13-15-15-15,-,-2.00%,3.00%,-,-,1.00%,D,14-4-10-11
38,1500,Arceus (Fighting),arceus_fighting,2001-03-01,14-0-15-14,14-4-10-11,,13-15-15-15,-,71.00%,-22.00%,-,-,-22.00%,M,13-15-15-15
39,1500,Arceus (Fire),arceus_fire,2001-03-01,14-0-15-14,14-4-10-11,,13-15-15-15,-,-24.00%,-22.00%,-,-,-22.00%,M,13-15-15-15
