#,LeagueCP,Name,SpeciesID,Moves Set,BEST,DEFAULT,DEFAULT_XL,MAX,b2x,b2d,b2m,x2d,x2m,d2m,RESULT,IV
0,2500,七夕青鳥,altaria,0-03-02,50-15-15-15,40-15-15-15,50-15-15-15,50-15-15-15,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,M,50-15-15-15
2,2500,三合一磁怪,magneton,2-03-01,45.5-0-15-15,40-15-15-15,,40-15-15-15,-,2.00%,2.00%,-,-,0.00%,B,45.5-0-15-15
3,2500,三合一磁怪 暗影化,magneton_shadow,2-04-01,45.5-0-15-15,40-15-15-15,,40-15-15-15,-,3.00%,3.00%,-,-,0.00%,B,45.5-0-15-15
4,2500,三地鼠,dugtrio,0-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
5,2500,三地鼠 暗影化,dugtrio_shadow,0-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
6,2500,三地鼠 阿羅拉型態,dugtrio_alolan,1-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
7,2500,三蜜蜂,combee,0-1-0,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
8,2500,三首惡龍,hydreigon,1-01-02,25.5-0-15-15,25-6-15-11,,24-15-15-15,-,3.00%,3.00%,-,-,0.00%,B,25.5-0-15-15
9,2500,不良蛙,croagunk,0-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
10,2500,九尾,ninetales,2-4-5,50-9-15-15,40-15-15-15,49.5-10-15-15,47-15-15-15,29%,30%,-16%,29%,-16%,0%,M,47-15-15-15
12,2500,九尾 暗影化,ninetales_shadow,2-2-6,50-9-15-15,40-15-15-15,49.5-10-15-15,47-15-15-15,0%,8%,0%,8%,0%,0%,M,47-15-15-15
14,2500,九尾 阿羅拉型態,ninetales_alolan,0-3-4,50-7-15-15,40-15-15-15,49-9-15-15,46-15-15-15,25%,11%,0%,10%,0%,0%,M,46-15-15-15
13,2500,亞克諾姆,azelf,0-02-01,28.5-3-15-14,28.5-5-14-10,,27-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,27-15-15-15
14,2500,人造細胞卵,reuniclus,2012-02-01,34.5-0-13-14,34-5-12-7,,29.5-15-15-15,-,-32.00%,-20.00%,-,-,-20.00%,M,29.5-15-15-15
15,2500,仙子伊布,sylveon,0-03-02,31.5-0-13-15,30-7-8-15,,28.5-15-15-15,-,8.00%,0.00%,-,-,0.00%,M,28.5-15-15-15
16,2500,代拉基翁,terrakion,0-01-03,25-1-15-13,25-7-9-10,,23.5-15-15-15,-,-5.00%,-5.00%,-,-,5.00%,D,25-7-9-10
17,2500,代歐奇希斯,deoxys,0-02-03,28-11-15-15,29-10-11-10,,27.5-15-15-15,-,0.00%,-10.00%,-,-,0.00%,M,27.5-15-15-15
18,2500,代歐奇希斯 攻擊型,deoxys_attack,0-02-01,38.5-12-15-14,39-13-13-15,,37.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,37.5-15-15-15
19,2500,代歐奇希斯 速度型,deoxys_speed,0-01-03,32-10-15-15,33-10-14-10,,30.5-15-15-15,-,-12.00%,-13.00%,-,-,-13.00%,M,30.5-15-15-15
20,2500,代歐奇希斯 防禦型,deoxys_defense,0-01-02,49.5-12-13-15,40-15-15-15,,47.5-15-15-15,-,13.00%,-10.00%,-,-,0.00%,M,47.5-15-15-15
21,2500,伊布,eevee,0-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
22,2500,伊裴爾塔爾,yveltal,0-01-03,24.5-0-15-15,24-5-14-13,,23-15-15-15,-,0.00%,10.00%,-,-,0.00%,M,23-15-15-15
23,2500,佛烈托斯,forretress,0-01-03,50-9-15-15,40-15-15-15,,47-15-15-15,-,16.00%,1.00%,-,-,0.00%,B,50-9-15-15
24,2500,佛烈托斯 暗影化,forretress_shadow,0-04-03,50-9-15-15,40-15-15-15,,47-15-15-15,-,13.00%,-4.00%,-,-,0.00%,M,47-15-15-15
25,2500,保母曼波,alomomola,2016-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
26,2500,保母蟲,leavanny,0-01-03,44-0-12-14,38.5-12-14-15,,37.5-15-15-15,-,1.00%,4.00%,-,-,1.00%,B,44-0-12-14
27,2500,信使鳥,delibird,0-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
28,2500,信使鳥 暗影化,delibird_shadow,0-04-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
29,2500,修建老匠,conkeldurr,0-01-03,28-0-15-12,27.5-7-9-14,,26-15-15-15,-,5.00%,10.00%,-,-,1.00%,B,28-0-15-12
30,2500,倫琴貓,luxray,2017-03-01,34.5-0-15-15,31.5-12-15-14,,30.5-15-15-15,-,-11.00%,-10.00%,-,-,-9.00%,M,30.5-15-15-15
31,2500,傑尼龜,squirtle,0-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
32,2500,傑尼龜 暗影化,squirtle_shadow,0-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
33,2500,傘電蜥,helioptile,0-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
34,2500,催眠貘,drowzee,0-03-04,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
35,2500,催眠貘 暗影化,drowzee_shadow,0-04-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
36,2500,傲骨燕,taillow,1-1-0,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
37,2500,優雅貓,delcatty,0-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
38,2500,光電傘蜥,heliolisk,2-02-04,42.5-0-14-14,37.5-14-14-15,,37-15-15-15,-,-39.00%,-38.00%,-,-,-38.00%,M,37-15-15-15
39,2500,克雷色利亞,cresselia,1-02-04,37-1-15-13,35-7-13-11,,31-15-15-15,-,0.00%,0.00%,-,-,-15.00%,M,31-15-15-15
40,2500,六尾,vulpix,0-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
41,2500,六尾 暗影化,vulpix_shadow,0-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
42,2500,六尾 阿羅拉型態,vulpix_alolan,0-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
43,2500,冰伊布,glaceon,1-01-03,30-0-15-12,29.5-5-12-12,,27.5-15-15-15,-,-11.00%,-9.00%,-,-,-2.00%,M,27.5-15-15-15
44,2500,冰寶,bergmite,0-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
45,2500,冰岩怪,avalugg,1-01-02,29.5-0-14-15,29.5-5-12-5,,27-15-15-15,-,-9.00%,-9.00%,-,-,-8.00%,M,27-15-15-15
46,2500,冰雪巨龍,aurorus,1-05-01,37.5-0-15-15,34.5-9-14-15,,32-15-15-15,-,-6.00%,-3.00%,-,-,-2.00%,M,32-15-15-15
